time,height
1.0000,1.9700
2.0000,1.4600
3.0000,0.9800
4.0000,0.7300
5.0000,0.6700
6.0000,0.8200
7.0000,1.1500
8.0000,1.5800
9.0000,2.0000
10.0000,2.3300
11.0000,2.4800
12.0000,2.4300
13.0000,2.2500
14.0000,2.0200
15.0000,1.8200
16.0000,1.7200
17.0000,1.7500
18.0000,1.9100
19.0000,2.2200
20.0000,2.5400
21.0000,2.8700
22.0000,3.1000
23.0000,3.1500
24.0000,2.9400
25.0000,2.5700
26.0000,2.0600
27.0000,1.5600
28.0000,1.1300
29.0000,0.8400
30.0000,0.7300
31.0000,0.7900
32.0000,1.0700
