times,angle_sun,angle_mercury,angle_venus,angle_mars,angle_jupiter,angle_saturn,angle_uranus,dist_sun,dist_mercury,dist_venus,dist_mars,dist_jupiter,dist_saturn,dist_uranus
21600000,1.221645906,0.7931215246,0.9833668928,1.756148687,0.4558908818,0.2140769461,0.0910392072,147496737480.687,120104895808.141,246254849361.606,332413176188.167,913657274489.133,1580377562879.06,3065075271637.11
22464000,1.396566121,0.9264679972,1.201288518,1.8825654412,0.4872038376,0.2270064129,0.0959632382,147987712601.206,144478588424.987,249889930964.805,336899543290.035,896105437927.436,1558370748216.1,3041288342279.19
23328000,1.5703083681,1.1358395774,1.4187079016,2.0100484802,0.5158437583,0.2376408375,0.0995385605,148493943586.413,165998469824.185,252938234076.469,340883548040.48,876466673559.783,1534792028254.51,3016352155966.78
24192000,1.742866899,1.3887292793,1.6355828897,2.1384709041,0.5413666195,0.245759377,0.1016968757,149000116299.829,183567684904.881,255352617793.746,344409410645.286,855133765809.112,1510259043505.62,2990986588341.67
25056000,1.9142712743,1.6772751076,1.8518906599,2.2677105111,0.5633247147,0.2511891404,0.1024084761,149491228772.002,196484229579.391,257085195631.622,347521544739.722,832547316818.451,1485429185005.65,2965926672059.15
25920000,2.084583728,2.0024585689,2.0676242591,2.3976485483,0.5812764753,0.2538181013,0.1016854814,149953019150.08,202231134527.165,258089934660.201,350262981810.145,809194368039.48,1460985955528.63,2941902314517.27
26784000,2.2538959189,2.3584655609,2.2827898366,2.5281687919,0.5948036029,0.2536093345,0.0995841022,150372338055.76,194825820543.869,258325282837.474,352673925867.727,785606516994.546,1437623064382.31,2919617687889.27
27648000,2.4223251291,2.701996675,2.4974037875,2.6591568854,0.6035377759,0.2506153881,0.0962055435,150737461887.094,169759544076.315,257756675341.667,354790463055.013,762356596507.814,1416025924256.25,2899730711900.46
28512000,2.5900102332,2.9634844107,2.7114906608,2.7905000021,0.6071987616,0.244990914,0.0916951589,151038348089.558,135843716994.35,256358726858.538,356643454024.095,740052511955.015,1396850423715.55,2882833110696.62
29376000,2.7571075354,3.1033862004,2.9250814322,2.9220867748,0.6056442139,0.2370010785,0.0862395282,151266841590.08,105741023743.498,254116947028.272,358257616666.707,719326503473.281,1380699345684.74,2869431692031.3
30240000,2.923786632,3.1054214055,3.1382120666,3.0538074587,0.5989282775,0.2270230188,0.0800612782,151416828720.953,86376294388.772,251028854175.579,359650804676.944,700817975023.38,1368097421418.41,2859931600174.82
31104000,3.0902262941,3.0126638317,-2.9322631791,-3.097631038,0.5873611961,0.2155379582,0.0734116769,151484342097.964,82128240588.8024,247104417200.049,360833481330.978,685148464519.382,1359466707024.37,2854622359633.85
31968000,-3.026574889,2.9596108673,-2.719932002,-2.9659634631,0.5715562898,0.2031127204,0.0665612868,151467624278.243,93727296537.9057,242365784057.459,361808387529.696,672888603576.856,1355104538066.7,2853667501898.34
32832000,-2.8600613275,3.0323192365,-2.5079381431,-2.8344775859,0.5524465114,0.190371216,0.0597892213,151367152250.806,117456390149.5,236846370876.094,362570403420.072,664519151975.235,1355166544930.84,2857098438272.02
33696000,-2.693236253,-3.0552319498,-2.2962429999,-2.7032725222,0.5312540114,0.1779585601,0.0533717391,151185625086.13,148601081627.843,230589394502.184,363106605465.155,660390944900.283,1359656910615.26,2864813001817.93
34560000,-2.5259244887,-2.7577673729,-2.0848150986,-2.5724437345,0.5094057489,0.1665022268,0.0475710179,150927914715.551,179848514118.127,223645991850.855,363396516089.385,660690848483.017,1368427240650.56,2876578785628.97
35424000,-2.357961765,-2.3992129464,-1.8736356508,-2.4420829208,0.4884047654,0.1565753742,0.0426249176,150600980892.546,198651973097.433,216073097954.086,363412548713.694,665421127324.563,1381184227696.35,2892041075533.38
36288000,-2.1891987637,-2.0450042726,-1.6627058272,-2.3122781521,0.4696833255,0.1486669392,0.0387384048,150213741744.234,199770620512.131,207931241172.754,363120647083.918,674397226135.092,1397505080425.62,2910734894097.41
37152000,-2.0195052277,-1.7277615022,-1.4520560923,-2.1831142929,0.4544715441,0.1431615024,0.0360770801,149776900819.947,189639883522.596,199282410978.669,362481117992.42,687264454273.373,1416858755688.93,2932100463636.91
38016000,-1.8487740123,-1.4499686026,-1.2417579458,-2.0546737071,0.4437087883,0.1403298305,0.0347629937,149302730108.039,173766125661.565,190188119923.847,361449653142.615,703529386843.694,1438630606098.78,2955501293121.43
38880000,-1.676924965,-1.2128286686,-1.0319386189,-1.9270372354,0.4380089968,0.1403291109,0.0348726895,148804797351.435,154201450491.921,180707776952.497,359978533247.143,722598989634.505,1462148146536.27,2980244086662.56
39744000,-1.503908501,-1.0309184382,-0.8227996515,-1.8002854102,0.4376741475,0.1432106362,0.0364372345,148297634751.496,131727779066.249,170897461457.396,358017998980.889,743820369557.757,1486706116426.27,3005599739876.1
40608000,-1.3297086331,-0.9509388659,-0.6146407742,-1.6744998475,0.4427398179,0.1489322309,0.0394438766,147796350034.25,108617146156.666,160809149028.279,355517763365.729,766516002896.167,1511589655782.49,3030824797851.52
41472000,-1.1543452627,-1.0536681579,-0.4078915974,-1.5497647802,0.4530349228,0.1573728862,0.0438389388,147316188221.262,94799239651.3734,150490539399.937,352428636610.95,790011930888.006,1536095008178.03,3055182839738.87
42336000,-0.9778753353,-1.2162438934,-0.2031548606,-1.4261686298,0.4682415947,0.1683476342,0.0495315796,146872047763.289,109869459769.085,139985468337.741,348704205033.491,813658669732.242,1559547647203.35,3077965357094.99
43200000,-0.8003927619,-1.1322939002,-0.0012685411,-1.3038056363,0.4879469577,0.1816213559,0.0563981068,146477976402.283,148069323057.935,129335240583.09,344302519351.198,836845858697.64,1581317940316.32,3098511684472.07
44064000,-0.6220267214,-0.8831801028,0.1966018976,-1.1827774755,0.5116835882,0.1969208442,0.0642866086,146146659274.433,182113951587.333,118581023904.289,339187711424.425,859012190576.812,1600834597383.44,3116227578762.56
44928000,-0.4429383103,-0.598521193,0.3888206951,-1.0631949072,0.5389587366,0.2139448982,0.0730217389,145888923014.893,203262203063.266,107767855346.17,333331471648.613,879652052054.102,1617596090030.7,3130601988120.94
45792000,-0.2633155651,-0.3150368455,0.5730535564,-0.9451795225,0.5692740051,0.2323725294,0.0824095508,145713293453.846,213513835316.187,96951148518.1091,326714315875.403,898319968224.172,1631180147319.64,3141221535089.65
46656000,-0.0833669568,-0.0362851179,0.7458945938,-0.8288657246,0.6021376576,0.2518695132,0.0922423183,145625635930.019,214992046054.374,86207444409.9856,319326581534.091,914633553965.046,1641251337033.1,3147782239223.99
47520000,0.0966863888,0.2408710111,0.9022533066,-0.7144031298,0.6370716028,0.2720935903,0.1023033157,145628898279.378,208245933818.649,75652783850.7236,311169105978.066,928275353149.434,1647566679263.11,3150098051087.21
48384000,0.2766191855,0.5176148471,1.0343846219,-0.6019597099,0.6736146677,0.292698604,0.112371532,145722977576.254,192305361473.141,65475490853.8381,302253585758.658,938993713386.601,1649979219203.3,3148105866790.54
49248000,0.4562108394,0.7805197236,1.1305960637,-0.4917259873,0.7113233745,0.3133378631,0.1222263191,145904720726.926,165094901994.369,55995185429.696,292602620281.121,946602760524.939,1648439539828.95,3141866848260.98
50112000,0.6352539509,0.9583267008,1.1746903805,-0.3839208116,0.7497710146,0.3336669703,0.1316519684,146168056740.973,127597254850.065,47762154701.7753,282249508378.883,950981482846.935,1642995255716.08,3131564040572.15
50976000,0.8135620671,0.889362588,1.1509684788,-0.2787992563,0.788545557,0.3533463724,0.1404422269,146504253875.033,98568360519.7662,41673390739.7407,271237874641.4,952071998367.39,1633788636972.05,3117496462666.34
51840000,0.9909762258,0.7085029364,1.0642169936,-0.1766633701,0.8272467148,0.3720438886,0.1484047664,146902295296.387,103097556802.052,38903057997.6473,259621252360.516,949877133624.341,1621052591014.88,3100069997654.63
52704000,1.1673699392,0.7246789293,0.9620481948,-0.0778766856,0.8654823822,0.3894375062,0.1553656234,147349354963.831,126584042407.061,40272992002.1523,247462784965.56,944457524077.021,1605105289349.98,3079785520802.9
53568000,1.3426522377,0.880767551,0.9054045701,0.01711625,0.9028645922,0.4052187722,0.1611736134,147831317043.137,151051139941.984,45502295294.0834,234835232409.393,935928479976.805,1586343709251.23,3057224736273.37
54432000,1.5167689628,1.1017348923,0.9170797543,0.1077637148,0.9390051863,0.4190971548,0.1657047034,148333272883.066,171812388281.947,53523349822.0319,221821460083.263,924456871737.703,1565236273575.02,3033034154897.68
55296000,1.6897027888,1.3615575249,0.9870155495,0.1933723105,0.9735114646,0.4308057989,0.1688662944,148839993397.933,188170898026.761,63300501894.3849,208515636415.725,910258323664.621,1542314678509.6,3007907607764.13
56160000,1.861472095,1.655088157,1.0981580975,0.2730623005,1.0059821759,0.4401090682,0.1706013032,149336395995.909,199375496063.631,74128180881.5018,195025472574.071,893594984459.427,1518164863911.19,2982567648431.14
57024000,2.032128734,1.9838906075,1.2370134062,0.3457113759,1.0360043665,0.446812157,0.1708918435,149807987116.273,202615234251.367,85567511040.9437,181475926688.099,874774055976.566,1493416892927.19,2957746136283.62
57888000,2.2017550292,2.3394214184,1.3945546357,0.4098877718,1.0631518927,0.4507728454,0.1697622281,150241255449.318,191746747636.309,97338388034.0041,168014869253.238,854147141499.069,1468733316988.16,2934164248107.91
58752000,2.3704601569,2.6718941227,1.5649768318,0.4637804137,1.0869867352,0.451915102,0.1672809352,150624006434.768,163649532751.361,109248292609.59,154821314049.139,832110362982.109,1444795525984,2912512228708.79
59616000,2.5383762042,2.9099425644,1.7445410946,0.5051501333,1.1070647154,0.4502437061,0.1635611449,150945639169.498,128925262854.975,121152961112.508,142116691415.924,809104981904.03,1422287553326.84,2893429249614.98
60480000,2.7056540604,3.0149027946,1.9308047369,0.5313610006,1.1229476827,0.4458583811,0.1587594534,151197373524.824,100098915599.64,132935493113.017,130178979950.438,785618012168.907,1401876989098.6,2877483897821.67
61344000,2.8724592943,2.9799926112,2.1221450935,0.5396141142,1.1342246503,0.4389652355,0.1530724628,151372422557.678,83892923796.3294,144495375617.364,119357346616.757,762181959195.195,1384193008675.66,2865155950378.42
62208000,3.0389680227,2.8825207691,2.3174671005,0.5275858825,1.1405443984,0.4298827967,0.1467310966,151466115784.741,83899341201.5251,155742870806.803,110079889418.747,739372393421.336,1369802097508.86,2856820212961.35
63072000,-3.0778224675,2.8617664079,2.5160211131,0.4946695695,1.1416612668,0.4190398735,0.1399927217,151475980042.933,98842599440.9283,166596443952.577,102838494941.292,717801602744.5,1359182765463.92,2852733256927.07
63936000,-2.9113565825,2.969399561,2.7172863988,0.4436733085,1.1374936011,0.4069631735,0.133131423,151401779797.687,124182468615.903,176981880747.139,98128134485.5737,698106239400.495,1352701263997.37,2853023854420.72
64800000,-2.7446362626,-3.0929693685,2.9208951227,0.3819596196,1.1281899913,0.3942540685,0.1264270137,151245518705.217,155326099388.774,186832511013.385,96331149397.1714,680926874136.031,1350590788437.78,2857687750106.79
65664000,-2.5774838073,-2.779427486,3.1265813163,0.3204149286,1.1141922111,0.3815559937,0.1201535636,151011403254.888,184600664596.711,196089941502.097,97586150766.7899,666878184316.34,1352936713504.63,2866587168419.25
66528000,-2.4097312099,-2.4154489611,-2.9490390631,0.2700059553,1.0962772176,0.3695160376,0.1145682848,150705767412.607,199736122613.307,204705083865.715,101727930431.202,656510327411.916,1359669876685.2,2879455135918.61
67392000,-2.2412242301,-2.0639089797,-2.7397507824,0.2382729324,1.0755574716,0.3587457128,0.1099015763,150336951183.104,197579302841.967,212639167874.635,108348428129.344,650264971049.043,1370568912194.76,2895904380216.06
68256000,-2.0718265191,-1.7520616888,-2.5288677158,0.2281856621,1.05342373,0.3497861045,0.1063488561,149915136656.872,185285608129.069,219864545220.334,116929647556.453,648432625757.776,1385271359527.61,2915440286710.48
69120000,-1.9014236779,-1.4813232899,-2.3165030771,0.2392242297,1.0314293779,0.3430815231,0.1040645765,149452140154.277,167998152036.38,226365104657.781,126961264451.967,651119882762.374,1403292095063.14,2937477201219.11
69984000,-1.7299271596,-1.2547336448,-2.1027626445,0.2690810857,1.0111359126,0.3389638371,0.1031585534,148961150672.914,147548611814.265,232136176767.173,138002234787.396,658234337800.35,1424046861335.28,2961357273879.42
70848000,-1.557277899,-1.0915764769,-1.88775019,0.3149286293,0.9939550134,0.3376475247,0.1036945088,148456413201.963,124869436951.685,237183845117.241,149695871921.87,669491022377.101,1446878439358.23,2986371041802.54
71712000,-1.3834494889,-1.0466599437,-1.6715712421,0.3740792349,0.981024143,0.3392337793,0.105690555,147952857726.252,103159527088.771,241523647338.329,161761665066.54,684438554360.446,1471083263489.09,3011779011450.67
72576000,-1.2084506511,-1.1845454706,-1.4543356546,0.4442313231,0.9731388385,0.343721064,0.1091212469,147465679221.128,94463763506.8707,245178757622.34,173980265782.424,702498540015.109,1495936839840.09,3036833602419.83
73440000,-1.0323267423,-1.3089413316,-1.2361592725,0.5235063021,0.9707443204,0.3510193607,0.113920814,147009871545.937,116063036745.91,248177710119.601,186179201219.911,723009923615.266,1520716966195.4,3060800901026.64
74304000,-0.855160062,-1.1769289992,-1.0171650827,0.6104019477,0.9739725803,0.3609657346,0.1199872025,146599735770.337,155472420115.395,250551854991.861,198221633311.838,745271084211.293,1544724290043.13,3082981727160.41
75168000,-0.677068647,-0.9106278755,-0.7974837031,0.7037233341,0.9827044093,0.3733394933,0.1271866291,146248372724.913,187452267921.146,252332717118.996,209998272620.322,768575266359.302,1567300128028.56,3102731553919.95
76032000,-0.4982034752,-0.6213044716,-0.5772534089,0.8025163323,0.9966378135,0.3878758913,0.1353584153,145967183375.443,206234633900.155,253549441407.606,221421842871.226,792237771926.028,1587841644517.72,3119478802985.87
